Word,Count,Percentage,24274
RIP,3,,
Louis,3,,
Turn,3,,
Brits,3,,
'The,3,,
Dick,3,,
Talk,3,,
Four,3,,
Eddie,3,,
Ava,3,,
Read,3,,
Darth,3,,
Great,3,,
Kentucky,3,,
CNN,3,,
Aubrey,3,,
Beyoncé,3,,
Elle,3,,
Eat,3,,
Beyonce,3,,
Totally,3,,
POLL:,3,,
Fall,3,,
Dudes,3,,
Sean,3,,
Rashida,3,,
"Star,1
Gentleman,1
Joseph,3
Gigi,3
Build,9
Aaahh!!!,1
Reminder,6
More,7
Talking,1
Amul's,1
Samuel,3
Nelly,1
Dramatic,1
Macklemore,1
7,116
Cook,1
'Freakonomics:',1
Sascha,1
Saturday",3,,
Meghan,3,,
Amandla,3,,
76,3,,
70,3,,
Perfect,3,,
Amanda,3,,
Most,3,,
Billy,3,,
Boy,3,,
Angelina,3,,
Ron,3,,
Glenn,3,,
Disturbing,3,,
Bryan,3,,
Mad,3,,
Jim,3,,
Candy,3,,
Alan,3,,
Olivia,3,,
Homemade,3,,
Molly,3,,
Director,3,,
Colton,3,,
Nickelodeon,3,,
Sam,3,,
Girls,3,,
2015,3,,
Ricky,3,,
KFC's,3,,
Official,3,,
4-Year-Old,3,,
We'll,3,,
Megan,3,,
46,3,,
Five,3,,
Starbucks',2,,
NYC,2,,
Apple's,2,,
Trans,2,,
China's,2,,
Nirvana,2,,
Henry,2,,
SNL,2,,
Strange,2,,
Game,2,,
Put,2,,
108,2,,
Decorate,2,,
Octopus,2,,
Hair,2,,
St.,2,,
Sick,2,,
Basil,2,,
Salma,2,,
95,2,,
Aly,2,,
Jurassic,2,,
Santas,2,,
Helen,2,,
Steph,2,,
Gina,2,,
Cereal,2,,
Bacon-Wrapped,2,,
National,2,,
Prepare,2,,
Anushka,2,,
14-Year-Old,2,,
Rare,2,,
Fun,2,,
Natasha,2,,
Craig,2,,
Sea,2,,
Madonna,2,,
Chicago,2,,
Ke$ha's,2,,
BuzzFeed's,2,,
Gays,2,,
Mini,2,,
Native,2,,
Thank,2,,
Raven,2,,
Gal,2,,
News,2,,
Wine,2,,
Krampus,2,,
Bomb,2,,
Teenagers,2,,
Further,2,,
Basic,2,,
Break,2,,
NBA,2,,
Indiana,2,,
Today,2,,
SNL,2,,
He,2,,
Kevin,2,,
Erykah,2,,
Solange,2,,
Hear,2,,
Sonakshi,2,,
Burning,2,,
Dylan,2,,
Leslie,2,,
Katie,2,,
Breaking,2,,
Jan,2,,
Genetic,2,,
Barack,2,,
Live,2,,
Stone,2,,
Sometimes,2,,
Isn't,2,,
Triple,2,,
Call,2,,
200,2,,
Allison,2,,
Beyoncé's,2,,
Iggy,2,,
Once,2,,
BFFs,2,,
Having,2,,
Instagram,2,,
URGENT:,2,,
Target,2,,
Ranking,2,,
Full,2,,
Roommates,2,,
Scotch,2,,
Lauren,2,,
Album,2,,
Freddie,2,,
They're,2,,
Iron,2,,
Tall,2,,
Terror,2,,
Waka,2,,
Rapper,2,,
Celine,2,,
Birthday,2,,
Cookie,2,,
Cowboy,2,,
Confessions,2,,
Guide,2,,
Joanna,2,,
Space,2,,
Gorgeous,2,,
Veterans,2,,
Jake,2,,
Pharrell,2,,
Country,2,,
Tinder,2,,
Modern,2,,
Wiz,2,,
Canada,2,,
Winter,2,,
Canada's,2,,
Gwen,2,,
Carly,2,,
Soldiers,2,,
Halloween,2,,
TSA,2,,
Easy,2,,
East,2,,
Dubstep,2,,
Rush,2,,
Australians,2,,
Airplane,2,,
Rescue,2,,
Toy,2,,
Yoga,2,,
Animal,2,,
Sweet,2,,
Lightning,2,,
